team,wins,losses,win_pct,GB
Los Angeles Dodgers,635,376,.628,0.0
Milwaukee Brewers,580,432,.573,56.0
Atlanta Braves,577,433,.571,59.0
Philadelphia Phillies,557,454,.551,79.0
San Diego Padres,544,467,.538,92.0
Chicago Cubs,517,495,.511,119.0
St. Louis Cardinals,516,494,.511,120.0
San Francisco Giants,515,497,.509,121.0
New York Mets,515,496,.509,121.0
Cincinnati Reds,485,526,.480,151.0
Arizona Diamondbacks,478,534,.472,158.0
Miami Marlins,463,549,.458,174.0
Pittsburgh Pirates,435,577,.430,202.0
Washington Nationals,421,592,.416,215.0
Colorado Rockies,385,625,.381,251.0
