division,year,team,wins,losses,win_pct,notes
NL East,1969,New York Mets,100,62,.617,Inaugural NL East season; Miracle Mets win WS
NL East,1970,Pittsburgh Pirates,89,73,.549
NL East,1971,Pittsburgh Pirates,97,65,.599
NL East,1972,Cincinnati Reds,95,59,.617
NL East,1973,New York Mets,82,79,.509
NL East,1974,Pittsburgh Pirates,88,74,.543
NL East,1975,Cincinnati Reds,108,54,.667
NL East,1976,Cincinnati Reds,102,60,.630
NL East,1977,Philadelphia Phillies,101,61,.623
NL East,1978,Pittsburgh Pirates,88,73,.547
NL East,1979,Pittsburgh Pirates,98,64,.605
NL East,1980,Philadelphia Phillies,91,71,.562
NL East,1981,St. Louis Cardinals,59,43,.577,Split season (strike)
NL East,1982,St. Louis Cardinals,92,70,.568
NL East,1983,Philadelphia Phillies,90,72,.556
NL East,1984,Chicago Cubs,96,65,.595
NL East,1985,St. Louis Cardinals,101,61,.623
NL East,1986,New York Mets,108,54,.667
NL East,1987,St. Louis Cardinals,95,67,.586
NL East,1988,St. Louis Cardinals,85,77,.525
NL East,1989,Chicago Cubs,93,69,.574
NL East,1991,Atlanta Braves,94,68,.580
NL East,1992,Atlanta Braves,98,64,.605
NL East,1993,Philadelphia Phillies,97,65,.599
NL East,1994,Montreal Expos,74,40,.649,Strike; no champion declared
NL East,1995,Atlanta Braves,90,54,.625
NL East,1996,Atlanta Braves,96,66,.588
NL East,1997,Atlanta Braves,101,61,.619
NL East,1998,Atlanta Braves,106,56,.654
NL East,1999,Atlanta Braves,103,59,.636
NL East,2000,Atlanta Braves,101,60,.627
NL East,2001,Atlanta Braves,88,74,.546
NL East,2002,Atlanta Braves,101,59,.630
NL East,2003,Atlanta Braves,101,61,.623
NL East,2004,Atlanta Braves,96,66,.594
NL East,2005,Atlanta Braves,90,72,.556
NL East,2006,New York Mets,97,65,.599
NL East,2007,Philadelphia Phillies,89,73,.549
NL East,2008,Philadelphia Phillies,92,70,.568
NL East,2009,Philadelphia Phillies,93,69,.574
NL East,2010,Philadelphia Phillies,97,65,.599
NL East,2011,Philadelphia Phillies,102,60,.630
NL East,2012,Washington Nationals,98,64,.605
NL East,2013,Atlanta Braves,96,66,.593
NL East,2014,Washington Nationals,96,66,.593
NL East,2015,New York Mets,90,72,.556
NL East,2016,Washington Nationals,95,67,.586
NL East,2017,Washington Nationals,97,65,.599
NL East,2018,Atlanta Braves,90,72,.556
NL East,2019,Atlanta Braves,97,65,.599
NL East,2020,Atlanta Braves,35,25,.583,60-game season
NL East,2021,Atlanta Braves,88,73,.547
NL East,2022,Atlanta Braves,101,61,.619
NL East,2023,Atlanta Braves,104,58,.641
NL East,2024,Atlanta Braves,89,73,.549
NL East,2025,Philadelphia Phillies,96,66,.593
NL Central,1969,Atlanta Braves,93,69,.573
NL Central,1970,Cincinnati Reds,102,60,.630
NL Central,1971,Pittsburgh Pirates,97,65,.599
NL Central,1972,Cincinnati Reds,95,59,.617
NL Central,1973,Cincinnati Reds,99,65,.604
NL Central,1974,Pittsburgh Pirates,88,74,.543
NL Central,1975,Cincinnati Reds,108,54,.667
NL Central,1976,Cincinnati Reds,102,60,.630
NL Central,1977,Philadelphia Phillies,101,61,.623
NL Central,1978,Pittsburgh Pirates,88,73,.547
NL Central,1979,Pittsburgh Pirates,98,64,.605
NL Central,1980,Philadelphia Phillies,91,71,.562
NL Central,1981,St. Louis Cardinals,59,43,.577
NL Central,1982,St. Louis Cardinals,92,70,.568
NL Central,1983,Philadelphia Phillies,90,72,.556
